id,Relative_Relief_751,SPI751,TWI_FINAL751,Flow_Accumulation_clean751,aspect751,slope751,Elevation1,Distance_to_River,Drainage_Density,Landslide
146,48.91082764,14.07600021,0.801427186,5.5864954,160.1832123,34.46782684,714.961731,2162.85,3.7018,0
147,29.22583008,-24.10791397,17.48456383,4.76179266,22.57208252,19.13318825,1342.784058,760.62,2.495,0
148,13.97241211,-15.67193699,20.36075974,104.451416,340.5483093,12.19930744,711.9002075,416.07,2.1321,0
149,45.79168701,33.28287125,0.43451649,7.316679478,195.5914612,29.12597084,810.6776733,2207.28,2.9332,0
150,32.66967773,3.397724867,0.282983184,1.970159888,179.9592896,23.3576622,562.8685303,2336.2,2.7463,0
151,35.05987549,2.769027233,2.54731226,6.083913803,271.2842102,27.91666603,746.3016357,2421.83,2.58,0
152,26.41149902,48.70251083,-2.12829113,2.491764307,233.9908142,16.87865829,617.895752,2560.72,2.2537,0
153,37.8694458,-1.77101171,18.04647636,8.495322227,257.7669678,27.24627304,736.2998657,471.42,2.792,0
154,43.38665771,3.192364931,1.8361938,4.235993385,196.1366882,31.48846245,672.4402466,2284.4,2.8499,0
155,63.08868408,-1.175724864,17.7974472,6.011553764,345.4996948,43.23331833,667.857666,917,4.1507,0
156,34.82507324,0.900395155,3.414345264,4.937633514,140.8723755,21.68422127,977.829895,2000.97,2.0717,1
157,29.50170898,-36.92776871,18.99725533,20.66583061,272.3114014,21.13436508,875.9001465,638.81,2.0126,0
158,6.889587402,-386.898407,19.5613308,55.48645401,179.6531372,2.947190762,770.7764893,626.45,1.1928,1
159,41.33496094,-2.571057081,18.5808506,13.59736729,196.1183624,28.52287674,855.9719238,463.7,3.0273,1
160,19.06384277,5.881047726,-0.277531266,2.069565773,67.44970703,14.80152225,168.52742,2617.72,2.1454,0
161,21.78564453,163.9645844,-1.036999345,7.877414703,177.8183289,17.63757706,522.9680176,2514.37,2.2984,1
162,32.35296631,-3.922528028,18.26394653,11.02830315,324.7877197,16.52966118,534.8053589,693.11,2.3677,0
163,31.2359314,-3.48368454,19.43870163,6.895529747,189.1964569,22.93164635,353.6229553,574.82,2.6612,1
164,19.22427368,-800.6573486,21.85670471,369.5247192,332.5996704,14.73763371,287.9811096,281.21,1.9203,0
165,48.10545349,-4.657248974,16.92911148,2.638180017,314.1754456,27.71346283,216.5267181,557.21,2.8416,0
166,34.078125,13.54836082,0.568491042,4.337255478,228.7046051,23.44190788,308.7663574,2585.63,2.5005,0
167,22.84954834,-66.05450439,18.54079819,13.51412773,161.6551971,18.07275009,188.7891083,509.33,2.2396,0
168,31.49490356,-1.121514082,16.71607208,2.125652552,275.121582,21.23824692,373.7935791,626.88,2.183,0
169,31.92672729,-10.04723263,19.05141449,21.03445053,228.0793915,21.45698738,320.9239807,317.64,2.486,1
170,39.70114136,3.619300127,2.109372139,5.413546085,341.694458,28.41587257,509.6777039,2307.47,2.8883,0
171,17.56440735,-5.770325184,19.29137039,18.00349045,2.966819763,15.80465412,162.8038177,611.75,2.0767,0
172,24.63157654,-1.666552901,19.96786499,17.9555378,32.36722183,15.97674847,90.57626343,212.79,2.0894,0
173,35.1625061,-15.88755417,17.81643486,6.84160471,176.8599243,28.02768898,292.5954895,678.3,2.3879,0
174,9.89766407,-1849.955811,21.9883213,5.099086285,355.6981812,4.57747221,13.39077663,113.25,1.0543,1
175,32.75093842,0.253750622,2.836379528,1.90977335,137.1102295,21.22925949,75.61196899,2261.03,2.3801,1
